,kev,events_per_day
962,14.4444,0.0002
963,14.4595,0.0002
964,14.4745,0.0002
965,14.4895,0.0002
966,14.5045,0.0002
967,14.5195,0.0002
968,14.5345,0.0002
969,14.5495,0.0002
970,14.5646,0.0002
971,14.5796,0.0002
972,14.5946,0.0002
973,14.6096,0.0002
974,14.6246,0.0002
975,14.6396,0.0002
976,14.6547,0.0002
977,14.6697,0.0002
978,14.6847,0.0002
979,14.6997,0.0002
980,14.7147,0.0002
981,14.7297,0.0002
982,14.7447,0.0002
983,14.7598,0.0002
984,14.7748,0.0002
985,14.7898,0.0002
986,14.8048,0.0002
987,14.8198,0.0002
988,14.8348,0.0002
989,14.8498,0.0002
990,14.8649,0.0002
991,14.8799,0.0002
992,14.8949,0.0002
993,14.9099,0.0002
994,14.9249,0.0002
995,14.9399,0.0002
996,14.955,0.0002
997,14.97,0.0002
998,14.985,0.0002
999,15,0.0002
